1.28E+01,1.39E+01,2.11E+01,7.00E-01,7.10E+04,5.77E+03,9.73E+02,4.30E+03
1.28E+01,1.39E+01,2.11E+01,7.00E-01,8.60E+04,5.77E+03,9.73E+02,4.90E+03
1.28E+01,1.39E+01,2.11E+01,7.00E-01,1.00E+05,5.77E+03,9.73E+02,5.30E+03
1.28E+01,1.39E+01,2.11E+01,1.00E+00,7.10E+04,6.13E+03,9.69E+02,4.90E+03
1.28E+01,1.39E+01,2.11E+01,1.00E+00,8.60E+04,6.13E+03,9.69E+02,5.50E+03
1.28E+01,1.39E+01,2.11E+01,1.00E+00,1.00E+05,6.13E+03,9.69E+02,5.90E+03
1.28E+01,1.39E+01,2.11E+01,1.30E+00,7.10E+04,6.34E+03,9.66E+02,5.40E+03
1.28E+01,1.39E+01,2.11E+01,1.30E+00,8.60E+04,6.34E+03,9.66E+02,5.90E+03
1.28E+01,1.39E+01,2.11E+01,1.30E+00,1.00E+05,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.39E+01,7.00E-01,7.10E+04,5.77E+03,9.73E+02,5.20E+03
1.28E+01,1.39E+01,2.39E+01,7.00E-01,8.60E+04,5.77E+03,9.73E+02,5.80E+03
1.28E+01,1.39E+01,2.39E+01,7.00E-01,1.00E+05,5.77E+03,9.73E+02,5.80E+03
1.28E+01,1.39E+01,2.39E+01,1.00E+00,7.10E+04,6.13E+03,9.69E+02,6.00E+03
1.28E+01,1.39E+01,2.39E+01,1.00E+00,8.60E+04,6.13E+03,9.69E+02,6.10E+03
1.28E+01,1.39E+01,2.39E+01,1.00E+00,1.00E+05,6.13E+03,9.69E+02,6.10E+03
1.28E+01,1.39E+01,2.39E+01,1.30E+00,7.10E+04,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.39E+01,1.30E+00,8.60E+04,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.39E+01,1.30E+00,1.00E+05,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.67E+01,7.00E-01,7.10E+04,5.77E+03,9.73E+02,5.80E+03
1.28E+01,1.39E+01,2.67E+01,7.00E-01,8.60E+04,5.77E+03,9.73E+02,5.80E+03
1.28E+01,1.39E+01,2.67E+01,7.00E-01,1.00E+05,5.77E+03,9.73E+02,5.80E+03
1.28E+01,1.39E+01,2.67E+01,1.00E+00,7.10E+04,6.13E+03,9.69E+02,6.10E+03
1.28E+01,1.39E+01,2.67E+01,1.00E+00,8.60E+04,6.13E+03,9.69E+02,6.10E+03
1.28E+01,1.39E+01,2.67E+01,1.00E+00,1.00E+05,6.13E+03,9.69E+02,6.10E+03
1.28E+01,1.39E+01,2.67E+01,1.30E+00,7.10E+04,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.67E+01,1.30E+00,8.60E+04,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.39E+01,2.67E+01,1.30E+00,1.00E+05,6.34E+03,9.66E+02,6.30E+03
1.28E+01,1.94E+01,2.11E+01,7.00E-01,7.10E+04,6.46E+03,1.07E+03,2.30E+03
1.28E+01,1.94E+01,2.11E+01,7.00E-01,8.60E+04,6.46E+03,1.07E+03,2.60E+03
1.28E+01,1.94E+01,2.11E+01,7.00E-01,1.00E+05,6.46E+03,1.07E+03,2.90E+03
1.28E+01,1.94E+01,2.11E+01,1.00E+00,7.10E+04,6.85E+03,1.06E+03,2.50E+03
1.28E+01,1.94E+01,2.11E+01,1.00E+00,8.60E+04,6.85E+03,1.06E+03,2.80E+03
1.28E+01,1.94E+01,2.11E+01,1.00E+00,1.00E+05,6.85E+03,1.06E+03,3.10E+03
